Time;Type;CurrentPose;TargetPose;Result
Sat Sep 29 14:41:21 2018;drop_pose;(0.454231523231,0.076804222957,0.212997313661)/(0.000113148880436,0.000530166652353,0.00106319484223,0.999999287868);(0.528961420059,0.336982876062,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:41:38 2018;grasp_pose;(0.206344816527,-0.196376958728,0.174316444593)/(-0.00153835986562,-8.43302482063e-06,0.00128869832357,0.999997986315);(0.280943661928,0.0638965666294,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:41:40 2018;post_grasp;(0.206427008535,-0.19643392051,0.304213296101)/(-0.00156104093497,-0.000178863818614,-0.00191315692059,0.99999693549);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:41:46 2018;drop_pose;(0.485773519603,-0.123233189385,0.21262606584)/(-0.000847435988796,-0.000510831791724,0.00587161025171,0.999982272391);(0.559882760048,0.136102437973,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:42:12 2018;grasp_pose;(0.286461010069,-0.130886121031,0.173949702236)/(0.0012944980188,0.00411237209427,0.000101517676123,0.999990701139);(0.362447172403,0.129352480173,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:42:22 2018;post_grasp;(0.28541428961,-0.12990766805,0.30364910788)/(0.00320311333411,0.00777089942323,0.00393339504928,0.999956939868);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:42:27 2018;drop_pose;(0.366175051703,0.111397163059,0.213662836461)/(-0.000830952323066,0.00201298381291,0.0053024290128,0.999983570696);(0.441821694374,0.370404452085,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:42:49 2018;grasp_pose;(0.261219098297,-0.105511876549,0.173853108678)/(0.00108708318915,0.00323249683461,0.000261152028818,0.99999415049);(0.336527854204,0.154490366578,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:42:51 2018;post_grasp;(0.261174533504,-0.105506510942,0.30400296568)/(0.000941273906519,0.00212090587602,-0.00274770550734,0.999993532917);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:42:57 2018;drop_pose;(0.204494776854,0.164485802016,0.214342153038)/(-0.00104676569899,0.00304042354925,0.00378466412269,0.999987668136);(0.280634909868,0.423569947481,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:43:18 2018;grasp_pose;(0.35956945033,0.202976329344,0.172872552677)/(-0.00229331184813,0.00458506417243,-0.00229846816078,0.999984217351);(0.435386687517,0.46321618557,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:43:20 2018;post_grasp;(0.359517366708,0.202943230173,0.303498465705)/(-0.00161367097388,0.00168477388307,-0.00323781365975,0.999992037051);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:43:26 2018;drop_pose;(0.546118453041,0.227723063879,0.210696426688)/(7.30031295901e-05,0.00199464327923,-0.00189258067737,0.999996217096);(0.621307551861,0.487719684839,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:43:44 2018;grasp_pose;(0.247811107103,-0.137040904232,0.173997249082)/(9.83447324235e-05,-0.000342286271639,0.00397339553725,0.999992042617);(0.322575360537,0.122705258429,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:43:46 2018;post_grasp;(0.247996347129,-0.137034290437,0.30400422689)/(-0.00110485049539,-0.00144792858195,0.00666870507589,0.999976105305);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:44:00 2018;drop_pose;(0.441277435094,0.1554562399,0.211782595149)/(-0.00203500941354,0.00712636500604,-0.00115814210101,0.999971865787);(0.517036914825,0.418005496264,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:44:11 2018;grasp_pose;(0.520833918066,0.0786346900345,0.171353932394)/(-0.00137544648701,0.00514948713858,0.0012267892037,0.999985042847);(0.597018241882,0.33861374855,0.225)/(0.0,0.0,0.0,1.0);success
